role1	role2	size	weight	sim_distance	phes_distance	percent1	percent2	family1	family2
(2R)-3-sulfolactate dehydrogenase (NADP(+)) (EC 1.1.1.338)	(2R)-sulfolactate sulfo-lyase subunit alpha (EC 4.4.1.24)	18	 17.0000	 41.7053	148.5027	   51.43	   46.15	35	39
(2R)-3-sulfolactate dehydrogenase (NADP(+)) (EC 1.1.1.338)	(2R)-sulfolactate sulfo-lyase subunit beta (EC 4.4.1.24)	20	 19.0000	 48.7050	183.9878	   57.14	   51.28	35	39
(2R)-3-sulfolactate dehydrogenase (NADP(+)) (EC 1.1.1.338)	(S)-sulfolactate dehydrogenase (EC 1.1.1.310)	16	 16.0000	 32.7726	116.2282	   45.71	   51.61	35	31
DNA-directed RNA polymerase subunit A' (EC 2.7.7.6)	SSU ribosomal protein S5e (S7p)	34	 34.0000	319.0955	551.3722	   65.38	   58.62	52	58
ABC transporter, permease protein 1 (cluster 11, riboflavin/purine nucleoside/unknown)	Putative deoxyribose-specific ABC transporter, permease protein	25	 19.4167	 85.9478	295.7547	   11.01	   69.44	227	36
2-amino-4-ketopentanoate thiolase, beta subunit	D-Ornithine 4,5-aminomutase S subunit (EC 5.4.3.5)	18	 17.0000	 43.1647	149.2807	   90.00	   94.74	20	19
Protein translocase subunit SecE	Thymidylate synthase ThyX (EC 2.1.1.148)	22	 21.5000	 22.1479	220.2482	    2.31	    6.11	953	360
SSU ribosomal protein S21p	Transcription antitermination protein NusG	39	 39.0000	 19.6076	671.2068	    4.98	    4.24	783	920
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	Glucokinase (EC 2.7.1.2)	24	 22.8333	 16.0062	264.0329	    9.80	    5.22	245	460
L-rhamnose ABC transporter, permease protein 1	L-rhamnose isomerase (EC 5.3.1.14)	24	 24.0000	102.1526	271.9922	   44.44	   14.12	54	170
LSU ribosomal protein L19p	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)	734	727.7500	75001.0825	265225.9526	   79.96	   75.28	918	975
DNA-directed RNA polymerase subunit N (EC 2.7.7.6)	SSU ribosomal protein SAe (S2p)	34	 34.0000	342.4712	554.0042	   62.96	   58.62	54	58
DNA-binding protein H-NS	Formyltetrahydrofolate deformylase (EC 3.5.1.10)	36	 32.3333	  8.0899	451.5142	   31.86	    7.84	113	459
DNA-directed RNA polymerase subunit K (EC 2.7.7.6)	SSU ribosomal protein S9e (S4p)	23	 23.0000	170.3381	245.8660	   42.59	   39.66	54	58
Acetyltransferase YpeA	Sulfate/thiosulfate ABC transporter (EC 7.3.2.3), permease protein CysW	16	 15.5000	  0.6866	 70.0248	   39.02	    6.04	41	265
