sample_id	production	density	predicted
M_D_TasdA_P_asdD_rhtA_DtdhDptsG_I_24_M1	0.125363362	0.39	 0.089424789
M_D_TasdA_P_asdD_000_DmetL_I_4p5_M1	0.0	0.07	 0.015798509
7_D_TasdA_P_asdD_pyc_DtdhDlysC_0_24_M1	0.147473622	0.58	  0.24145347
7_D_TasdA1_P_asdD_pyc_DtdhDrhta_I_12_M1	0.0	0.0	-0.038018644
7_D_Tasd_P_asdD_pyc_Dtdh_I_4p5_M1	0.0	0.11	 0.019682169
7_D_Tasd_P_asdD_pyc_Drhta_0_12_M1	0.0	0.01	-0.027926803
7_D_TasdA_P_asdD_aspC_DlysC_I_24_M1	2.227281264	2.53	   1.1655183
7_D_TasdA_P_asdD_000_Dtdh_I_24_M1	2.169954843	3.86	  0.93589103
M_D_TasdA1_P_asdD_000_DlysC_I_24_M1	2.14159968	4.56	  0.26373470
7_D_TasdA_P_asdD_aspC_DdhaM_I_24_M1	2.121271231	2.7	   1.2117150
7_D_TasdA_P_asdD_pntAB_DlysC_I_24_M1	2.116023209	2.56	   1.2730415
7_D_TasdA_P_asdD_pyc_D000_I_24_M1	2.053903201	1.55	   1.3047745
7_D_TasdA_P_asdD_aspC_DrhtA_I_24_M1	1.881961453	2.56	   1.0605507
7_D_TasdA_P_asdD_pntAB_DdhaM_I_24_M1	1.871465411	2.65	   1.2836587
7_D_TasdA_P_asdD_pntAB_Dtdh_0_24_M1	1.855721346	7.23	   1.1721320
M_D_TasdA_P_asdD_000_D000_I_24_M1	1.786648576	4.58	  0.44151133
7_D_TasdA_P_asdD_aspC_DtdhDrhtA_I_24_M1	1.77595142	2.43	  0.85334283
7_D_TasdA_P_asdD_pyc_Dtdh_0_24_M1	1.770513573	4.29	  0.89486390
7_D_TasdA_P_asdD_pyc_D000_0_24_M1	1.732549992	4.96	   1.1071589
7_D_TasdA_P_asdD_pntAB_DtdhDlysC_0_24_M1	1.723471206	6.69	   1.0789324
M_D_TasdA_P_asdD_pyc_DptsG_I_24_M1	0.153100854	0.46	  0.13734335
M_D_TasdA_P_asdD_zwf_DlysA_I_24_M1	0.152998567	0.38	 0.095650375
7_D_TasdA_P_asdD_zwf_Dtdh_I_6_M1	0.151163984	0.52	  0.16238713
7_D_TasdA_P_asdD_zwf_DrhtA_0_12_M1	0.151163984	1.64	 0.050896406
M_D_TasdA_P_asdD_aspC_DlysC_I_12_M1	0.150584321	0.52	 0.066193521
7_D_TasdA_P_asdD_zwf_DptsG_I_24_M1	0.15011438	0.62	 0.078217089
7_D_TasdA_P_asdD_rhtA_DptsG_I_24_M1	0.149970522	0.35	 0.097032011
M_D_TasdA_P_asdD_zwf_Dtdh_I_24_M1	0.149422985	0.71	  0.22515690
7_D_TasdA_P_asdD_aspC_Dtdh_0_6_M1	0.149064775	0.79	  0.10099226
